model,split,success rate,accuracy,cot,success rate error,accuracy error
InternVL3 78B,simple,0.92,1.0,no,0.05,0.0
InternVL3 78B,medium,0.8,0.99,no,0.08,0.0
InternVL3 78B,hard,0.68,0.98,no,0.09,0.0
InternVL3.5 38B,simple,1.0,1.0,no,0.0,0.0
InternVL3.5 38B,medium,1.0,0.99,no,0.0,0.0
InternVL3.5 38B,hard,0.64,0.98,no,0.1,0.0
Qwen2.5-VL 72B,simple,0.6,0.98,no,0.1,0.0
Qwen2.5-VL 72B,medium,0.2,0.98,no,0.08,0.0
Qwen2.5-VL 72B,hard,0.0,0.96,no,0.0,0.0
Qwen3-VL 32B,simple,0.64,0.99,no,0.1,0.0
Qwen3-VL 32B,medium,0.32,0.98,no,0.09,0.0
Qwen3-VL 32B,hard,0.04,0.97,no,0.04,0.0
Gemma-3 27B,simple,0.24,0.96,no,0.09,0.0
Gemma-3 27B,medium,0.0,0.94,no,0.0,0.0
Gemma-3 27B,hard,0.0,0.93,no,0.0,0.0
InternVL3 78B,simple,0.96,0.99,yes,0.04,0.0
InternVL3 78B,medium,0.76,0.99,yes,0.09,0.0
InternVL3 78B,hard,0.64,0.98,yes,0.1,0.0
InternVL3.5 38B,simple,1.0,0.99,yes,0.0,0.0
InternVL3.5 38B,medium,0.84,0.99,yes,0.07,0.0
InternVL3.5 38B,hard,0.48,0.96,yes,0.1,0.0
Qwen2.5-VL 72B,simple,0.52,0.97,yes,0.1,0.0
Qwen2.5-VL 72B,medium,0.16,0.98,yes,0.07,0.0
Qwen2.5-VL 72B,hard,0.0,0.96,yes,0.0,0.0
Qwen3-VL 32B,simple,0.56,0.98,yes,0.1,0.0
Qwen3-VL 32B,medium,0.48,0.98,yes,0.1,0.0
Qwen3-VL 32B,hard,0.08,0.97,yes,0.05,0.0
Gemma-3 27B,simple,0.28,0.96,yes,0.09,0.0
Gemma-3 27B,medium,0.0,0.93,yes,0.0,0.0
Gemma-3 27B,hard,0.0,0.92,yes,0.0,0.0
