model,split,success rate,cot,success rate error
InternVL3 78B,simple,0.44,Action,0.1
InternVL3 78B,medium,0.48,Action,0.1
InternVL3 78B,hard,0.32,Action,0.09
InternVL3.5 38B,simple,0.48,Action,0.1
InternVL3.5 38B,medium,0.32,Action,0.09
InternVL3.5 38B,hard,0.12,Action,0.06
Qwen2.5-VL 72B,simple,0.56,Action,0.1
Qwen2.5-VL 72B,medium,0.4,Action,0.1
Qwen2.5-VL 72B,hard,0.24,Action,0.09
Qwen3-VL 32B,simple,0.76,Action,0.09
Qwen3-VL 32B,medium,0.44,Action,0.1
Qwen3-VL 32B,hard,0.28,Action,0.09
Gemma-3 27B,simple,0.8,Action,0.08
Gemma-3 27B,medium,0.2,Action,0.08
Gemma-3 27B,hard,0.32,Action,0.09
InternVL3 78B,simple,0.36,Action + CoT,0.1
InternVL3 78B,medium,0.32,Action + CoT,0.09
InternVL3 78B,hard,0.16,Action + CoT,0.07
InternVL3.5 38B,simple,0.44,Action + CoT,0.1
InternVL3.5 38B,medium,0.16,Action + CoT,0.07
InternVL3.5 38B,hard,0.08,Action + CoT,0.05
Qwen2.5-VL 72B,simple,0.6,Action + CoT,0.1
Qwen2.5-VL 72B,medium,0.36,Action + CoT,0.1
Qwen2.5-VL 72B,hard,0.36,Action + CoT,0.1
Qwen3-VL 32B,simple,0.8,Action + CoT,0.08
Qwen3-VL 32B,medium,0.32,Action + CoT,0.09
Qwen3-VL 32B,hard,0.12,Action + CoT,0.06
Gemma-3 27B,simple,0.72,Action + CoT,0.09
Gemma-3 27B,medium,0.28,Action + CoT,0.09
Gemma-3 27B,hard,0.16,Action + CoT,0.07
