model,split,success rate,accuracy,cot,success rate error,accuracy error
InternVL3 78B,simple,0.12,0.66,no,0.06,0.01
InternVL3 78B,medium,0.04,0.63,no,0.04,0.01
InternVL3 78B,hard,0.04,0.59,no,0.04,0.0
InternVL3.5 38B,simple,0.2,0.59,no,0.08,0.01
InternVL3.5 38B,medium,0.0,0.62,no,0.0,0.01
InternVL3.5 38B,hard,0.04,0.71,no,0.04,0.0
Qwen2.5-VL 72B,simple,0.04,0.66,no,0.04,0.01
Qwen2.5-VL 72B,medium,0.0,0.79,no,0.0,0.0
Qwen2.5-VL 72B,hard,0.0,0.77,no,0.0,0.0
Qwen3-VL 32B,simple,0.2,0.72,no,0.08,0.01
Qwen3-VL 32B,medium,0.04,0.74,no,0.04,0.01
Qwen3-VL 32B,hard,0.0,0.74,no,0.0,0.0
Gemma-3 27B,simple,0.0,0.69,no,0.0,0.02
Gemma-3 27B,medium,0.0,0.79,no,0.0,0.0
Gemma-3 27B,hard,0.0,0.76,no,0.0,0.0
InternVL3 78B,simple,0.16,0.64,yes,0.07,0.01
InternVL3 78B,medium,0.0,0.71,yes,0.0,0.0
InternVL3 78B,hard,0.0,0.67,yes,0.0,0.0
InternVL3.5 38B,simple,0.12,0.64,yes,0.06,0.01
InternVL3.5 38B,medium,0.0,0.68,yes,0.0,0.01
InternVL3.5 38B,hard,0.08,0.68,yes,0.05,0.0
Qwen2.5-VL 72B,simple,0.04,0.72,yes,0.04,0.01
Qwen2.5-VL 72B,medium,0.0,0.77,yes,0.0,0.0
Qwen2.5-VL 72B,hard,0.0,0.71,yes,0.0,0.0
Qwen3-VL 32B,simple,0.12,0.68,yes,0.06,0.01
Qwen3-VL 32B,medium,0.0,0.7,yes,0.0,0.01
Qwen3-VL 32B,hard,0.04,0.64,yes,0.04,0.0
Gemma-3 27B,simple,0.12,0.62,yes,0.06,0.01
Gemma-3 27B,medium,0.0,0.67,yes,0.0,0.0
Gemma-3 27B,hard,0.0,0.66,yes,0.0,0.0
