model,method,cot,average_success_rate,error,average_success_rate_blocksworld,error_blocksworld,average_success_rate_igibson,error_igibson
GPT-4.1,vila,yes,0.4666666667,0.0364173341,0.48,0.0466476152,0.4533333333,0.0559364719
InternVL3 78B,predicate,yes,0.44,0.0275842145,0.7733333333,0.0444622187,0.1066666667,0.0326598632
InternVL3.5 38B,predicate,no,0.4333333333,0.0225487127,0.8266666667,0.0391918359,0.04,0.022310934
InternVL3.5 38B,predicate,yes,0.4066666667,0.0239258113,0.7466666667,0.0386436713,0.0666666667,0.0282213473
InternVL3 78B,predicate,no,0.4,0.0255081686,0.76,0.0461880215,0.04,0.0216641024
GPT-4.1,predicate,no,0.4,0.025086517,0.7466666667,0.0438178046,0.0533333333,0.0244404037
GPT-4.1,predicate,yes,0.3933333333,0.0279045994,0.7066666667,0.0472534537,0.08,0.0296947433
GPT-5.2,predicate,no,0.3733333333,0.0255081686,0.6933333333,0.0447809483,0.0533333333,0.0244404037
GPT-4.1,vila,no,0.3466666667,0.0306376674,0.1066666667,0.0339411255,0.5866666667,0.0510163373
GPT-5.2,vila,no,0.34,0.0299925917,0.1333333333,0.0359753002,0.5466666667,0.048
Gemma-3 27B,vila,no,0.3,0.0281582828,0.0933333333,0.0313262403,0.5066666667,0.0467998101
Qwen3-VL 8B,predicate,yes,0.2733333333,0.0274550137,0.5333333333,0.0533333333,0.0133333333,0.0130639453
Qwen3-VL 32B,vila,no,0.26,0.0238513918,0.0133333333,0.0130639453,0.5066666667,0.0458790681
InternVL3.5 8B,predicate,yes,0.2533333333,0.0245854519,0.4933333333,0.0474037036,0.0133333333,0.0130639453
Mistral-Small-3.1 24B,vila,no,0.2466666667,0.029574764,0.0533333333,0.0244404037,0.44,0.0538640263
InternVL3.5 8B,predicate,no,0.24,0.0223904742,0.4533333333,0.0409661107,0.0266666667,0.0180862133
Qwen3-VL 30B A3B,vila,no,0.2333333333,0.0265999165,0.0,0.0,0.4666666667,0.0531998329
Qwen3-VL 32B,vila,yes,0.22,0.0310411913,0.24,0.0446218681,0.2,0.0431637708
Gemma-3 27B,vila,yes,0.22,0.0270637108,0.12,0.0367574633,0.32,0.0397324385
Qwen3-VL 32B,predicate,yes,0.2133333333,0.0288444102,0.3466666667,0.0485889791,0.08,0.0310984101
Cosmos-Reason2 8B,predicate,no,0.2066666667,0.0243675558,0.36,0.0421637021,0.0533333333,0.0244404037
Qwen3-VL 30B A3B,vila,yes,0.2066666667,0.0304630924,0.0666666667,0.0266666667,0.3466666667,0.0547803696
InternVL3.5 38B,vila,no,0.2,0.0296947433,0.16,0.0373333333,0.24,0.0461880215
Qwen3-VL 32B,predicate,no,0.2,0.0245854519,0.36,0.0438178046,0.04,0.022310934
InternVL3 78B,vila,no,0.1933333333,0.028409701,0.0266666667,0.0180862133,0.36,0.0538640263
Qwen2.5-VL 72B,vila,no,0.1933333333,0.0255081686,0.04,0.022310934,0.3466666667,0.0458790681
Qwen2.5-VL 72B,vila,yes,0.1866666667,0.0292726645,0.0666666667,0.0277128129,0.3066666667,0.0515708789
InternVL3.5 30B A3B,predicate,yes,0.18,0.0205696648,0.3466666667,0.0390099702,0.0133333333,0.0130639453
Gemma-3 12B,vila,no,0.1733333333,0.0250155507,0.0533333333,0.0244404037,0.2933333333,0.0436552148
Qwen2.5-VL 72B,predicate,no,0.1733333333,0.0250155507,0.3333333333,0.0482953874,0.0133333333,0.0130639453
Qwen3-VL 30B A3B,predicate,yes,0.1666666667,0.0253683968,0.3066666667,0.0474037036,0.0266666667,0.0180862133
Qwen3-VL 8B,predicate,no,0.1666666667,0.0195049851,0.28,0.0296947433,0.0533333333,0.0252982213
Qwen2.5-VL 7B,predicate,no,0.1533333333,0.0190438091,0.2933333333,0.0357770876,0.0133333333,0.0130639453
