Method,ViPlan-BW_mean,ViPlan-BW_err,ViPlan-HH_mean,ViPlan-HH_err,Combined_mean,Combined_err,is_summary
VLM-as-grounder + history,0.4720000000000001,0.15638130038822132,0.048,0.017178798302300166,0.25999999999999995,0.08487899884214259,False
VLM-as-grounder,0.4693333333400001,0.14226110579678639,0.03733333332,0.00653197264946305,0.25333333332,0.07089898917709148,False
VLM-as-grounder + CoT,0.44000000001999995,0.136104534980368,0.05866666668,0.018184242267780454,0.24933333332,0.07479156222103014,False
VLM-as-grounder + CoT + history,0.45066666666666666,0.14157212531662672,0.04533333333333334,0.009043106644167024,0.248,0.07403902874685606,False
Action + CoT,0.14133333333333334,0.040353989201124145,0.34933333333333333,0.04096611065529924,0.24533333333333332,0.029992591677871976,False
Action,0.06933333333333333,0.03276854860651869,0.41066666666666674,0.030521395046025596,0.24,0.012823589374447565,False
VLM-as-planner,0.06666666666,0.02699794230759901,0.39200000002,0.05122499390544946,0.22933333332,0.021664102417901676,False
VLM-as-planner + CoT,0.10133333333999998,0.03761796261090644,0.22666666668,0.036514837167011066,0.164,0.02817406215100848,False
Average (Grounder),0.4580000000066667,0.06626740089172123,0.04733333333333333,0.006523013691619283,0.25266666666,0.03504016075261531,True
Average (Planner),0.09466666666666665,0.017408742846140298,0.344666666675,0.02481793352753595,0.21966666666333334,0.013363781025610522,True
